id;recipe_id;ingredient;amount;measurement
1;1;cream of coconut;1;cup
2;1;lemon juice;1;cup
3;1;chicken bouillon granules;1;tablespoon
4;1;dried marjoram;2;teaspoons
5;1;garlic powder;1;teaspoon
6;1;red pepper flakes;1;teaspoon
7;1;"skinless, boneless chicken breast halves, cut into chuncks";1;pound
8;1;red bell pepper;1;
9;1;sweet onion;1;
10;1;fresh pineapple chunks;1;cup
11;2;olive oil;2;teaspoons
12;2;quinoa;1;cup
13;2;"onion, chopped";1/2;
14;2;water;2;cups
15;2;chicken-flavored vegetable bouillon;2;tablespoons
16;2;ground black pepper;1;teaspoon
17;2;ground thyme;1;teaspoon
18;2;"carrot, chopped";1;
19;2;"tomato, chopped";1;
20;2;baby spinach;1;cup
21;2;olive oil;2;tablespoons
22;2;"ground turkey, or more to taste";1;pound
23;2;"black beans, rinsed and drained";1;can
24;3;olive oil;1;teaspoon
25;3;"green bell pepper, chopped";1;
26;3;"yellow bell pepper, chopped";1;
27;3;"onion, chopped";1;
28;3;garlic;4;cloves
29;3;no-salt-added diced tomatoes;2;cans
30;3;white wine;1/2;cup
31;3;"chopped fresh parsley, divided";1/2;cup
32;3;dried basil;1/2;teaspoon
33;3;dried oregano;1/2;teaspoon
34;3;red pepper flakes;1/2;teaspoon
35;3;whole-wheat spaghetti;8;ounces
36;3;cooked shrimp;12;ounces
37;3;grated Pecorino-Romano cheese;1/2;cup
38;4;maple syrup;1/4;cup
39;4;soy sauce;2;tablespoons
40;4;"garlic, minced";1;clove
41;4;garlic salt;1/4;teaspoon
42;4;ground black pepper;1/8;teaspoon
43;4;salmon;1;pound
44;5;"fresh asparagus spears, trimmed";20;
45;5;low-sodium chicken broth;4;cups
46;5;olive oil;2;tablespoons
47;5;"small onion, diced";1;
48;5;"celery, diced";1;stalk
49;5;salt;1/4;teaspoon
50;5;ground black pepper;1/4;teaspoon
51;5;"garlic, minced";1;clove
52;5;arborio rice;1;cup
53;5;dry white wine;1/2;cup
54;5;freshly grated Parmesan cheese;1/4;cup
55;5;lemon juice;2;tablespoons
56;5;lemon zest;1/2;teaspoon
57;6;"skinless, boneless chicken breast halves";6;
58;6;honey;1/2;cup
59;6;prepared mustard;1/2;cup
60;6;dried basil;1;teaspoon
61;6;paprika;1;teaspoon
62;6;dried parsley;1/2;teaspoon
63;7;cider vinegar;1/4;cup
64;7;prepared coarse-ground mustard;3;tablespoons
65;7;"garlic, peeled and minced";3;cloves
66;7;"lime, juiced";1;
67;7;"lemon, juiced";1/2;
68;7;brown sugar;1/2;cup
69;7;salt;1 1/2;teaspoons
70;7;black pepper;;
71;7;olive oil;6;tablespoons
72;7;"skinless, boneless chicken breast halves";6;
73;8;"garbanzo beans, drained and rinsed";1;can
74;8;"celery, chopped";1;stalk
75;8;"onion, chopped";1/2;
76;8;mayonnaise;1;tablespoon
77;8;lemon juice;1;tablespoon
78;8;dried dill weed;1;teaspoon
79;10;orzo pasta;1;cup
80;10;olive oil;2;tablespoons
81;10;garlic;2;cloves
82;10;crushed red pepper;1/4;teaspoon
83;10;"skinless, boneless chicken breast halves cut into bite-size pieces";2;
84;10;chopped fresh parsley;1;tablespoon
85;10;fresh spinach leaves;2;cups
